month,product,n
2024-12,"Payday loan, title loan, personal loan, or advance loan",807
2024-12,Prepaid card,720
2025-01,Checking or savings account,18367
2025-01,Debt or credit management,693
2025-01,Mortgage,2204
2025-01,Vehicle loan or lease,1920
2025-02,Credit card,6213
2025-02,Debt or credit management,353
2025-02,Mortgage,1754
2025-02,"Payday loan, title loan, personal loan, or advance loan",750
2025-02,Prepaid card,495
2025-02,Vehicle loan or lease,1358
2025-03,Credit card,6255
2025-03,Debt or credit management,338
2025-03,"Money transfer, virtual currency, or money service",3032
2025-03,"Payday loan, title loan, personal loan, or advance loan",862
2025-03,Prepaid card,485
2025-04,Checking or savings account,5229
2025-04,Credit card,6897
2025-04,Debt or credit management,302
2025-04,"Money transfer, virtual currency, or money service",2504
2025-04,"Payday loan, title loan, personal loan, or advance loan",892
2025-04,Prepaid card,508
2025-05,Debt or credit management,275
2025-05,"Money transfer, virtual currency, or money service",2652
2025-05,"Payday loan, title loan, personal loan, or advance loan",985
2025-05,Prepaid card,513
2025-05,Vehicle loan or lease,1643
2025-06,Debt collection,21860
2025-06,Debt or credit management,298
2025-06,"Payday loan, title loan, personal loan, or advance loan",1069
2025-06,Prepaid card,490
2025-07,Prepaid card,560
2025-08,"Money transfer, virtual currency, or money service",2879
2025-08,Vehicle loan or lease,1738
2025-09,Debt or credit management,373
2025-09,"Money transfer, virtual currency, or money service",2505
2025-09,Prepaid card,531
2025-09,Vehicle loan or lease,1743
2025-10,Prepaid card,481
2011-12,Credit card,1260
2011-12,Mortgage,1276
2012-01,Credit card,1167
2012-01,Mortgage,2063
2012-02,Credit card,1212
2012-02,Mortgage,2297
2012-03,Consumer Loan,141
2012-03,Credit card,1378
2012-03,Mortgage,2996
2012-03,Student loan,524
2012-04,Bank account or service,1256
2012-04,Credit card,1173
2012-04,Mortgage,2852
2012-04,Student loan,249
2012-05,Bank account or service,1668
2012-05,Consumer Loan,259
2012-05,Credit card,1467
2012-05,Mortgage,4046
2012-05,Student loan,174
2012-06,Bank account or service,1394
2012-06,Consumer Loan,218
2012-06,Credit card,1699
2012-06,Mortgage,3961
2012-06,Student loan,569
2012-07,Bank account or service,1299
2012-07,Consumer Loan,195
2012-07,Credit card,1505
2012-07,Mortgage,3514
2012-07,Student loan,242
2012-08,Bank account or service,1258
2012-08,Consumer Loan,222
2012-08,Credit card,1281
2012-08,Mortgage,3898
2012-08,Student loan,218
2012-09,Bank account or service,1085
2012-09,Consumer Loan,174
2012-09,Credit card,994
2012-09,Mortgage,3053
2012-09,Student loan,186
2012-10,Bank account or service,1206
2012-10,Consumer Loan,232
2012-10,Credit card,1358
2012-10,Credit reporting,360
2012-10,Mortgage,3319
2012-10,Student loan,266
2012-11,Bank account or service,940
2012-11,Consumer Loan,175
2012-11,Credit card,1086
2012-11,Credit reporting,782
2012-11,Mortgage,2931
2012-11,Student loan,225
2012-12,Bank account or service,914
2012-12,Consumer Loan,197
2012-12,Credit card,1032
2012-12,Credit reporting,731
2012-12,Mortgage,3177
2012-12,Student loan,187
2013-01,Bank account or service,1233
2013-01,Consumer Loan,239
2013-01,Credit card,1162
2013-01,Mortgage,5931
2013-01,Student loan,265
2013-02,Bank account or service,1078
2013-02,Consumer Loan,206
2013-02,Credit card,1142
2013-02,Credit reporting,1065
2013-02,Mortgage,4624
2013-02,Student loan,234
2013-03,Bank account or service,1221
2013-03,Consumer Loan,253
2013-03,Credit card,1280
2013-03,Credit reporting,1098
2013-03,Mortgage,4693
2013-03,Student loan,240
2013-04,Bank account or service,1005
2013-04,Consumer Loan,262
2013-04,Credit card,1216
2013-04,Credit reporting,1151
2013-04,Money transfers,41
2013-04,Mortgage,4720
2013-04,Student loan,237
2013-05,Consumer Loan,261
2013-05,Credit card,1072
2013-05,Credit reporting,1207
2013-05,Money transfers,36
2013-05,Mortgage,4372
2013-05,Student loan,201
2013-06,Bank account or service,1051
2013-06,Consumer Loan,248
2013-06,Credit card,1022
2013-06,Credit reporting,1112
2013-06,Money transfers,51
2013-06,Mortgage,4367
2013-06,Student loan,184
2013-07,Bank account or service,1180
2013-07,Consumer Loan,255
2013-07,Credit card,1036
2013-07,Credit reporting,1249
2013-07,Debt collection,900
2013-07,Money transfers,50
2013-07,Student loan,249
2013-08,Bank account or service,1119
2013-08,Consumer Loan,271
2013-08,Credit card,1076
2013-08,Credit reporting,1253
2013-08,Debt collection,1494
2013-08,Money transfers,55
2013-08,Mortgage,4036
2013-08,Student loan,260
2013-09,Bank account or service,1129
2013-09,Consumer Loan,289
2013-09,Credit card,1085
2013-09,Credit reporting,1447
2013-09,Debt collection,2003
2013-09,Money transfers,62
2013-09,Mortgage,3368
2013-09,Student loan,253
2013-10,Bank account or service,1226
2013-10,Consumer Loan,280
2013-10,Credit card,1062
2013-10,Credit reporting,1290
2013-10,Debt collection,1792
2013-10,Money transfers,86
2013-10,Mortgage,3193
2013-10,Student loan,311
2013-11,Bank account or service,1047
2013-11,Consumer Loan,248
2013-11,Credit card,950
2013-11,Credit reporting,1300
2013-11,Debt collection,2448
2013-11,Money transfers,87
2013-11,Mortgage,2883
2013-11,Payday loan,87
2013-11,Student loan,268
2013-12,Bank account or service,1078
2013-12,Consumer Loan,305
2013-12,Credit card,1002
2013-12,Credit reporting,1297
2013-12,Debt collection,2431
2013-12,Money transfers,91
2013-12,Mortgage,2860
2013-12,Payday loan,107
2013-12,Student loan,303
2014-01,Bank account or service,1259
2014-01,Consumer Loan,350
2014-01,Credit card,1190
2014-01,Credit reporting,2357
2014-01,Debt collection,3266
2014-01,Money transfers,97
2014-01,Payday loan,143
2014-01,Student loan,354
2014-02,Bank account or service,1178
2014-02,Consumer Loan,311
2014-02,Credit card,1237
2014-02,Credit reporting,2538
2014-02,Debt collection,3369
2014-02,Money transfers,84
2014-02,Mortgage,3859
2014-02,Payday loan,121
2014-02,Student loan,349
2014-03,Bank account or service,1286
2014-03,Consumer Loan,402
2014-03,Credit card,1263
2014-03,Credit reporting,2589
2014-03,Debt collection,3589
2014-03,Money transfers,105
2014-03,Mortgage,4178
2014-03,Payday loan,125
2014-03,Student loan,403
2014-04,Bank account or service,1277
2014-04,Consumer Loan,396
2014-04,Credit card,1297
2014-04,Credit reporting,2549
2014-04,Money transfers,112
2014-04,Mortgage,4030
2014-04,Payday loan,119
2014-04,Student loan,365
2014-05,Bank account or service,1236
2014-05,Consumer Loan,297
2014-05,Credit card,1101
2014-05,Credit reporting,2300
2014-05,Debt collection,3200
2014-05,Money transfers,100
2014-05,Mortgage,3452
2014-05,Payday loan,127
2014-05,Student loan,345
