ticker,month,n,z
TFC,2025-07,322,1.7302164039006511
TFC,2025-08,302,0.8189921328396192
TFC,2025-09,301,0.6649678106947862
TFC,2025-10,300,0.5123467356123522
TFC,2025-11,302,0.4758934067584774
TFC,2025-12,417,3.7148224893315867
TFC,2026-01,410,2.2343936306195347
TFC,2026-02,380,1.3211036607021838
TFC,2026-03,415,1.7555743072685366
TFC,2026-04,376,0.8370060781033462
TFC,2026-05,372,0.6362654085549263
TFC,2026-06,436,1.5684897791953654
TRU,2013-11,1,
TRU,2013-12,1,
TRU,2014-01,1,
TRU,2014-02,5,
TRU,2014-03,2,
TRU,2014-04,1,
TRU,2014-05,4,
TRU,2014-06,0,
TRU,2014-07,3,
TRU,2014-08,3,
TRU,2014-09,3,
TRU,2014-10,2,
TRU,2014-11,3,
TRU,2014-12,2,
TRU,2015-01,2,
TRU,2015-02,4,
TRU,2015-03,5,
TRU,2015-04,2,
TRU,2015-05,2,
TRU,2015-06,0,
TRU,2015-07,2,
TRU,2015-08,3,
TRU,2015-09,7,
TRU,2015-10,4,
TRU,2015-11,2,
TRU,2015-12,0,
TRU,2016-01,2,
TRU,2016-02,1,
TRU,2016-03,9,
TRU,2016-04,3,
TRU,2016-05,8,
TRU,2016-06,6,
TRU,2016-07,6,
TRU,2016-08,10,
TRU,2016-09,8,
TRU,2016-10,14,
TRU,2016-11,2,
TRU,2016-12,8,
TRU,2017-01,12,
TRU,2017-02,10,
TRU,2017-03,16,
TRU,2017-04,18,
TRU,2017-05,30,2.3268614726060077
TRU,2017-06,19,1.0243405562630865
TRU,2017-07,28,1.4883538423627727
TRU,2017-08,45,1.9766114029167408
TRU,2017-09,36,1.2571368798482039
TRU,2017-10,45,1.3530658998517233
TRU,2017-11,48,1.2254600689260104
TRU,2017-12,39,0.9042314215026119
TRU,2018-01,54,1.3962848352019581
TRU,2018-02,50,1.04846996851783
TRU,2018-03,77,1.9992195681762917
TRU,2018-04,75,1.6276264811314554
TRU,2018-05,77,1.4991608777488998
TRU,2018-06,99,1.8551686378367178
TRU,2018-07,55,0.114636549023055
TRU,2018-08,119,2.440136482740235
TRU,2018-09,62,0.06733662708428367
TRU,2018-10,79,0.6648490109698908
TRU,2018-11,62,-0.2074400222164549
TRU,2018-12,88,0.855995765681631
TRU,2019-01,89,0.7912053427836706
TRU,2019-02,89,0.6605498857787336
TRU,2019-03,122,2.0072344738599655
TRU,2019-04,124,1.651587402259224
TRU,2019-05,137,1.7184995527267717
TRU,2019-06,167,2.057182615114322
TRU,2019-07,127,0.858031182042678
TRU,2019-08,148,1.2194217655362334
TRU,2019-09,116,0.3665846754763059
TRU,2019-10,97,-0.3766099426513453
TRU,2019-11,81,-1.1082229500145027
TRU,2019-12,64,-2.4073222820523728
TRU,2020-01,74,-1.4112069367936073
TRU,2020-02,138,0.8321962729185547
TRU,2020-03,194,1.8591137359521233
TRU,2020-04,189,1.4449033069093205
TRU,2020-05,193,1.2942449738670385
TRU,2020-06,216,1.4327561932956077
TRU,2020-07,214,1.2731231060098067
TRU,2020-08,150,0.2841620584821738
TRU,2020-09,204,0.9830157621128081
TRU,2020-10,228,1.093838835261665
TRU,2020-11,129,-0.31733284406630247
TRU,2020-12,120,-0.6096622604380879
TRU,2021-01,199,0.5970613453490279
TRU,2021-02,139,-1.1066189053998225
TRU,2021-03,130,-1.4174306314233809
TRU,2021-04,70,-3.8087321616628076
TRU,2021-05,98,-1.3802563459653756
TRU,2021-06,140,-0.17822491665015455
TRU,2021-07,100,-1.0534535159956286
TRU,2021-08,101,-0.8656613678014126
TRU,2021-09,81,-1.3867940376286643
TRU,2021-10,67,-1.736726500558551
TRU,2021-11,87,-0.7249631538510025
TRU,2021-12,147,1.0338184568559787
TRU,2022-01,153,1.0649839415089644
TRU,2022-02,376,4.373095788824772
TRU,2022-03,221,1.4089994212126355
TRU,2022-04,257,1.5185179092473924
TRU,2022-05,144,0.14763767260861854
TRU,2022-06,104,-0.5512848798986377
TRU,2022-07,190,0.6727317919455644
TRU,2022-08,186,0.5277106238093986
TRU,2022-09,139,-0.1385329059577999
TRU,2022-10,155,-0.013552883007487505
TRU,2022-11,119,-0.8683012988914234
TRU,2022-12,141,-0.5574062699649595
TRU,2023-01,197,0.398500699862968
TRU,2023-02,216,0.59857788580007
TRU,2023-03,89,-2.3027350432938345
TRU,2023-04,0,-16.363245102994206
TRU,2023-05,0,-3.123554994246715
TRU,2023-06,0,-2.1214599990539895
TRU,2023-07,0,-1.6492422885496807
TRU,2023-08,0,-1.3481756091305914
TRU,2023-09,0,-1.1287312465097112
TRU,2023-10,0,
TRU,2023-11,595,
TRU,2023-12,710,
TRU,2024-01,955,
TRU,2024-02,886,
TRU,2024-03,2021,
TRU,2024-04,2576,1.4150560677740418
TRU,2024-05,2342,1.1546447834715594
TRU,2024-06,1912,0.9216553273801851
TRU,2024-07,1943,0.7831802264746328
TRU,2024-08,2663,0.7498911702986986
TRU,2024-09,2627,0.6256638313756698
TRU,2024-10,2571,0.5146956087173249
TRU,2024-11,1862,0.264427992446286
TRU,2024-12,2172,0.4437736475642036
TRU,2025-01,3049,1.2207173241695322
TRU,2025-02,2008,-0.19082705175676726
TRU,2025-03,2372,0.23262138851807335
TRU,2025-04,3322,2.2906024772235467
TRU,2025-05,2855,1.004798288181096
TRU,2025-06,2585,0.3721541592144546
TRU,2025-07,2806,0.7116044129481537
TRU,2025-08,3830,2.4285881595426737
TRU,2025-09,3830,1.8400729311047537
TRU,2025-10,2133,-1.0138625757949407
TRU,2025-11,1512,-2.3230727784476946
TRU,2025-12,1477,-2.0679346118394424
TRU,2026-01,1728,-1.1987202814693045
TRU,2026-02,1197,-2.1216204049632417
TRU,2026-03,1168,-1.7696283559069368
TRU,2026-04,989,-1.8246550231473029
TRU,2026-05,1004,-1.4469775715654658
TRU,2026-06,1011,-1.1900913140213474
UPST,2015-08,1,
UPST,2015-09,1,
UPST,2015-10,0,
UPST,2015-11,0,
UPST,2015-12,0,
UPST,2016-01,0,
UPST,2016-02,0,
UPST,2016-03,0,
UPST,2016-04,0,
UPST,2016-05,0,
UPST,2016-06,0,
UPST,2016-07,0,
UPST,2016-08,0,
UPST,2016-09,0,
UPST,2016-10,0,
UPST,2016-11,0,
UPST,2016-12,0,
UPST,2017-01,0,
UPST,2017-02,1,
UPST,2017-03,0,
UPST,2017-04,0,
UPST,2017-05,0,
UPST,2017-06,1,
UPST,2017-07,1,
UPST,2017-08,0,
UPST,2017-09,1,
UPST,2017-10,1,
UPST,2017-11,0,
UPST,2017-12,2,
UPST,2018-01,1,
UPST,2018-02,1,
UPST,2018-03,0,
UPST,2018-04,1,
UPST,2018-05,1,
UPST,2018-06,0,
UPST,2018-07,1,
UPST,2018-08,0,
UPST,2018-09,1,
UPST,2018-10,1,
UPST,2018-11,1,
UPST,2018-12,1,
UPST,2019-01,1,
UPST,2019-02,0,
UPST,2019-03,1,
UPST,2019-04,0,
UPST,2019-05,2,
UPST,2019-06,0,
UPST,2019-07,0,
UPST,2019-08,3,
UPST,2019-09,1,
UPST,2019-10,1,
UPST,2019-11,2,
UPST,2019-12,2,
UPST,2020-01,2,
UPST,2020-02,2,
UPST,2020-03,1,
UPST,2020-04,2,
UPST,2020-05,0,
UPST,2020-06,4,
UPST,2020-07,9,
UPST,2020-08,2,
UPST,2020-09,4,
UPST,2020-10,3,
UPST,2020-11,0,
UPST,2020-12,9,
UPST,2021-01,3,
UPST,2021-02,9,
UPST,2021-03,7,
UPST,2021-04,5,
UPST,2021-05,6,
UPST,2021-06,5,
UPST,2021-07,6,
UPST,2021-08,10,
UPST,2021-09,10,
UPST,2021-10,6,
UPST,2021-11,8,
UPST,2021-12,10,
UPST,2022-01,11,
UPST,2022-02,9,
UPST,2022-03,11,
UPST,2022-04,11,
UPST,2022-05,8,
UPST,2022-06,7,
UPST,2022-07,6,
UPST,2022-08,13,
UPST,2022-09,9,
UPST,2022-10,12,
UPST,2022-11,9,
UPST,2022-12,10,
UPST,2023-01,15,
UPST,2023-02,14,1.4264089063108962
UPST,2023-03,3,
UPST,2023-04,0,
UPST,2023-05,0,
UPST,2023-06,0,
UPST,2023-07,0,
UPST,2023-08,0,
UPST,2023-09,0,
UPST,2023-10,0,
UPST,2023-11,10,
UPST,2023-12,11,
UPST,2024-01,12,
UPST,2024-02,18,
UPST,2024-03,16,
UPST,2024-04,13,
UPST,2024-05,16,1.0887514906681786
UPST,2024-06,13,0.7812219591677836
UPST,2024-07,17,0.8415105420171671
UPST,2024-08,27,1.069107142302218
UPST,2024-09,21,0.7218957442114039
UPST,2024-10,29,1.000593203773562
UPST,2024-11,32,2.072604733652471
UPST,2024-12,28,1.2987100324422673
UPST,2025-01,53,3.0093540549280995
UPST,2025-02,30,0.7741538658525269
UPST,2025-03,29,0.5844048353628584
UPST,2025-04,27,0.30655500807564184
UPST,2025-05,34,0.804143721857619
UPST,2025-06,43,1.3480163005071701
UPST,2025-07,60,2.421090403861955
UPST,2025-08,49,1.3156622403141307
UPST,2025-09,50,1.167859098893813
UPST,2025-10,86,2.914978289962177
UPST,2025-11,91,2.2138729061079268
UPST,2025-12,86,1.5683333730872926
